,DataType.OPEN,DataType.HIGH,DataType.LOW,DataType.CLOSE,DataType.VOLUME,DataType.COUNT,DataType.DATE,DataType.STRIKEPRICE,DataType.EXPIRY
0,68.0,68.0,68.0,68.0,4,1,2022-01-14,105,2022-02-04
1,50.830000000000005,50.830000000000005,50.660000000000004,50.660000000000004,2,2,2022-01-24,105,2022-02-04
2,63.45,63.45,63.27,63.27,4,2,2022-01-28,105,2022-02-04
3,67.8,67.8,67.8,67.8,3,1,2022-01-31,105,2022-02-04
4,69.5,69.54,69.37,69.47,40,6,2022-02-02,105,2022-02-04
5,70.65,70.65,69.3,69.3,148,3,2022-02-03,105,2022-02-04
6,67.82000000000001,67.84,67.68,67.84,60,3,2022-02-04,105,2022-02-04
7,63.0,63.0,63.0,63.0,1,1,2022-01-14,110,2022-02-04
8,52.77,52.800000000000004,49.17,49.17,54,16,2022-01-27,110,2022-02-04
9,55.580000000000005,58.35,55.580000000000005,58.35,18,3,2022-01-28,110,2022-02-04
10,64.8,64.8,64.8,64.8,5,1,2022-02-01,110,2022-02-04
11,65.60000000000001,65.60000000000001,65.60000000000001,65.60000000000001,1,1,2022-02-02,110,2022-02-04
12,64.58,64.58,64.25,64.25,22,7,2022-02-03,110,2022-02-04
13,64.83,64.83,64.83,64.83,1,1,2022-01-04,115,2022-02-04
14,59.42,59.42,59.42,59.42,1,1,2022-01-11,115,2022-02-04
15,60.7,60.7,60.7,60.7,1,1,2022-01-13,115,2022-02-04
16,48.36,48.36,48.36,48.36,11,1,2022-01-21,115,2022-02-04
17,44.78,44.78,44.78,44.78,8,1,2022-01-24,115,2022-02-04
18,44.09,44.800000000000004,44.09,44.800000000000004,6,2,2022-01-27,115,2022-02-04
19,50.75,50.75,50.75,50.75,1,1,2022-01-28,115,2022-02-04
20,55.5,58.35,55.5,58.35,12,2,2022-01-31,115,2022-02-04
21,59.35,59.35,59.35,59.35,8,2,2022-02-01,115,2022-02-04
22,54.42,54.42,54.42,54.42,1,1,2022-01-11,120,2022-02-04
23,51.67,51.68,51.67,51.68,3,3,2022-01-18,120,2022-02-04
24,50.29,50.29,49.150000000000006,49.2,12,5,2022-01-19,120,2022-02-04
25,43.43,43.43,43.43,43.43,19,2,2022-01-21,120,2022-02-04
26,36.75,40.07,36.75,40.07,70,4,2022-01-24,120,2022-02-04
27,42.7,42.7,42.7,42.7,1,1,2022-01-26,120,2022-02-04
28,39.95,39.95,39.82,39.82,4,4,2022-01-27,120,2022-02-04
29,45.0,48.64,45.0,48.64,34,3,2022-01-28,120,2022-02-04
30,51.260000000000005,51.27,51.260000000000005,51.27,19,2,2022-01-31,120,2022-02-04
31,55.010000000000005,55.010000000000005,55.010000000000005,55.010000000000005,3,3,2022-02-02,120,2022-02-04
32,54.18,54.18,54.18,54.18,10,3,2022-02-03,120,2022-02-04
33,53.760000000000005,53.760000000000005,53.760000000000005,53.760000000000005,1,1,2022-01-05,125,2022-02-04
34,47.68,47.68,47.68,47.68,1,1,2022-01-07,125,2022-02-04
35,42.160000000000004,42.160000000000004,42.160000000000004,42.160000000000004,1,1,2022-01-19,125,2022-02-04
36,37.93,37.93,37.93,37.93,1,1,2022-01-21,125,2022-02-04
37,34.65,34.65,34.1,34.1,6,3,2022-01-26,125,2022-02-04
38,49.61,49.61,49.61,49.61,1,1,2022-02-02,125,2022-02-04
39,43.5,43.75,43.5,43.75,4,2,2022-01-06,130,2022-02-04
40,38.75,38.75,38.74,38.74,10,2,2022-01-10,130,2022-02-04
41,45.75,45.75,45.75,45.75,1,1,2022-01-13,130,2022-02-04
