,DataType.OPEN,DataType.HIGH,DataType.LOW,DataType.CLOSE,DataType.VOLUME,DataType.COUNT,DataType.DATE,DataType.STRIKEPRICE,DataType.EXPIRY
0,98.78,98.78,98.78,98.78,10,1,1/10/2022,70,2/18/2022
1,105.3,105.3,102.95,102.95,6,2,1/13/2022,70,2/18/2022
2,100.4,100.4,100.4,100.4,1,1,1/19/2022,70,2/18/2022
3,93.67,93.67,92.75,92.75,13,2,1/21/2022,70,2/18/2022
4,88.95,88.95,88.95,88.95,1,1,1/24/2022,70,2/18/2022
5,95.95,95.95,95.95,95.95,1,1,1/28/2022,70,2/18/2022
6,103,103.2,102.95,103.09,10,5,1/31/2022,70,2/18/2022
7,104.5,104.5,104.5,104.5,1,1,2/1/2022,70,2/18/2022
8,105.2,105.2,104.5,104.5,145,2,2/3/2022,70,2/18/2022
9,100.95,101.23,100.95,101.23,2,2,2/4/2022,70,2/18/2022
10,102.35,102.35,102.05,102.05,2,2,2/7/2022,70,2/18/2022
11,104.6,104.6,104.6,104.6,3,1,2/8/2022,70,2/18/2022
12,102.76,102.76,102.43,102.43,3,3,2/10/2022,70,2/18/2022
13,98.2,98.2,98.2,98.2,1,1,2/14/2022,70,2/18/2022
14,98.8,98.8,98.8,98.8,2,1,2/18/2022,70,2/18/2022
15,93.8,93.8,93.8,93.8,10,1,1/10/2022,75,2/18/2022
16,99.6,99.6,99.6,99.6,2,1,1/11/2022,75,2/18/2022
17,100.3,100.3,98.05,98.05,4,3,1/13/2022,75,2/18/2022
18,90.35,90.68,87.75,87.75,20,5,1/21/2022,75,2/18/2022
19,87.7,87.7,87.7,87.7,2,1,1/27/2022,75,2/18/2022
20,97.95,97.95,97.95,97.95,4,1,1/31/2022,75,2/18/2022
21,100.2,100.2,99.2,99.2,75,2,2/3/2022,75,2/18/2022
22,96.08,96.08,96.08,96.08,1,1,2/4/2022,75,2/18/2022
23,100.85,100.85,100.85,100.85,12,2,2/9/2022,75,2/18/2022
24,92.85,92.85,92.85,92.85,1,1,2/18/2022,75,2/18/2022
25,95.3,95.3,95.3,95.3,2,2,1/13/2022,80,2/18/2022
26,88.75,88.75,88.75,88.75,1,1,1/20/2022,80,2/18/2022
