,DataType.OPEN,DataType.HIGH,DataType.LOW,DataType.CLOSE,DataType.VOLUME,DataType.COUNT,DataType.DATE,DataType.STRIKEPRICE,DataType.EXPIRY
0,96.0,96.0,96.0,96.0,2,1,2022-08-08,70,2022-09-23
1,98.5,99.15,98.5,99.05000000000001,6,6,2022-08-10,70,2022-09-23
2,100.80000000000001,100.80000000000001,100.75,100.75,2,2,2022-08-11,70,2022-09-23
3,103.18,103.18,103.18,103.18,1,1,2022-08-16,70,2022-09-23
4,98.05000000000001,98.05000000000001,96.10000000000001,96.10000000000001,45,5,2022-08-26,70,2022-09-23
5,91.25,91.25,91.25,91.25,1,1,2022-08-29,70,2022-09-23
6,91.9,91.9,91.9,91.9,1,1,2022-08-30,70,2022-09-23
7,89.10000000000001,89.10000000000001,89.10000000000001,89.10000000000001,9,1,2022-08-31,70,2022-09-23
8,86.8,87.15,85.5,85.8,86,15,2022-09-01,70,2022-09-23
9,86.25,86.25,84.7,84.7,33,2,2022-09-06,70,2022-09-23
10,87.60000000000001,87.60000000000001,87.60000000000001,87.60000000000001,5,1,2022-09-09,70,2022-09-23
11,92.15,93.65,92.15,93.60000000000001,18,4,2022-09-12,70,2022-09-23
12,85.3,86.60000000000001,84.4,84.4,47,10,2022-09-14,70,2022-09-23
13,84.10000000000001,84.10000000000001,82.35000000000001,82.35000000000001,17,2,2022-09-15,70,2022-09-23
14,79.25,80.7,79.25,80.65,95,8,2022-09-16,70,2022-09-23
15,81.0,84.35000000000001,81.0,84.35000000000001,33,8,2022-09-19,70,2022-09-23
16,84.3,87.9,84.3,87.7,54,16,2022-09-20,70,2022-09-23
17,86.8,88.25,84.15,84.15,277,59,2022-09-21,70,2022-09-23
18,82.2,83.65,81.8,83.0,50,16,2022-09-22,70,2022-09-23
19,80.95,80.95,79.10000000000001,80.05,197,27,2022-09-23,70,2022-09-23
20,84.8,84.8,84.8,84.8,30,1,2022-08-31,75,2022-09-23
21,81.05,81.05,80.60000000000001,80.8,102,7,2022-09-01,75,2022-09-23
22,79.5,79.5,79.35000000000001,79.37,6,3,2022-09-06,75,2022-09-23
23,80.55,80.55,80.55,80.55,3,1,2022-09-14,75,2022-09-23
24,77.85000000000001,77.85000000000001,77.35000000000001,77.4,34,8,2022-09-15,75,2022-09-23
25,74.45,74.45,74.45,74.45,1,1,2022-09-16,75,2022-09-23
26,75.0,79.35000000000001,75.0,79.35000000000001,65,13,2022-09-19,75,2022-09-23
27,81.8,82.7,80.55,82.7,24,6,2022-09-20,75,2022-09-23
28,81.5,83.65,79.4,79.4,228,64,2022-09-21,75,2022-09-23
29,77.60000000000001,78.55,76.75,78.0,26,10,2022-09-22,75,2022-09-23
30,75.95,75.95,73.85000000000001,74.4,56,9,2022-09-23,75,2022-09-23
31,88.75,88.75,87.75,87.75,29,2,2022-08-22,80,2022-09-23
32,82.0,82.0,82.0,82.0,1,1,2022-08-29,80,2022-09-23
33,76.8,76.8,75.65,75.65,12,4,2022-09-01,80,2022-09-23
34,76.25,76.25,74.65,74.65,35,3,2022-09-06,80,2022-09-23
35,74.60000000000001,74.60000000000001,74.60000000000001,74.60000000000001,4,1,2022-09-08,80,2022-09-23
36,81.3,81.3,81.3,81.3,8,2,2022-09-12,80,2022-09-23
37,75.60000000000001,75.60000000000001,74.0,74.0,87,7,2022-09-14,80,2022-09-23
38,74.10000000000001,74.10000000000001,74.10000000000001,74.10000000000001,7,1,2022-09-15,80,2022-09-23
39,70.60000000000001,70.60000000000001,70.60000000000001,70.60000000000001,5,1,2022-09-16,80,2022-09-23
40,70.8,73.75,70.8,73.75,23,7,2022-09-19,80,2022-09-23
41,74.65,78.0,74.3,76.3,70,15,2022-09-20,80,2022-09-23
42,77.10000000000001,78.25,74.4,74.4,335,58,2022-09-21,80,2022-09-23
43,72.5,73.8,71.8,73.0,59,13,2022-09-22,80,2022-09-23
44,70.95,70.95,68.85000000000001,69.3,59,10,2022-09-23,80,2022-09-23
45,77.10000000000001,77.10000000000001,77.10000000000001,77.10000000000001,9,1,2022-08-29,85,2022-09-23
46,70.65,70.65,70.65,70.65,30,1,2022-09-01,85,2022-09-23
47,71.52000000000001,71.52000000000001,71.52000000000001,71.52000000000001,1,1,2022-09-02,85,2022-09-23
48,71.10000000000001,71.10000000000001,71.10000000000001,71.10000000000001,1,1,2022-09-06,85,2022-09-23
49,72.60000000000001,72.60000000000001,72.60000000000001,72.60000000000001,15,3,2022-09-09,85,2022-09-23
50,75.74000000000001,77.55,75.74000000000001,77.55,6,3,2022-09-12,85,2022-09-23
51,71.4,71.4,71.4,71.4,11,1,2022-09-13,85,2022-09-23
52,71.35000000000001,71.35000000000001,71.35000000000001,71.35000000000001,1,1,2022-09-14,85,2022-09-23
53,67.75,67.75,67.75,67.75,9,1,2022-09-15,85,2022-09-23
54,64.05,65.8,64.05,65.8,42,6,2022-09-16,85,2022-09-23
55,65.95,69.35000000000001,65.95,69.35000000000001,85,13,2022-09-19,85,2022-09-23
56,70.15,72.7,70.15,71.15,35,9,2022-09-20,85,2022-09-23
57,70.10000000000001,73.25,69.4,69.4,168,30,2022-09-21,85,2022-09-23
58,64.5,65.05,64.3,64.3,12,3,2022-09-23,85,2022-09-23
59,78.03,78.03,78.03,78.03,3,1,2022-08-22,90,2022-09-23
60,79.5,79.5,79.5,79.5,3,1,2022-08-26,90,2022-09-23
61,66.10000000000001,66.10000000000001,66.10000000000001,66.10000000000001,2,1,2022-09-01,90,2022-09-23
62,67.60000000000001,67.60000000000001,67.60000000000001,67.60000000000001,8,2,2022-09-09,90,2022-09-23
63,64.73,64.73,64.73,64.73,3,1,2022-09-13,90,2022-09-23
64,59.45,59.45,59.0,59.0,24,4,2022-09-16,90,2022-09-23
