,DataType.OPEN,DataType.HIGH,DataType.LOW,DataType.CLOSE,DataType.VOLUME,DataType.COUNT,DataType.DATE,DataType.STRIKEPRICE,DataType.EXPIRY
0,66.8,66.8,66.7,66.7,2,2,2022-06-21,70,2022-07-08
1,68.88000000000001,68.88000000000001,68.88000000000001,68.88000000000001,1,1,2022-06-28,70,2022-07-08
2,69.39,69.39,69.39,69.39,1,1,2022-06-29,70,2022-07-08
3,71.2,71.2,71.2,71.2,1,1,2022-07-05,70,2022-07-08
4,72.55,72.55,72.55,72.55,1,1,2022-07-06,70,2022-07-08
5,56.25,56.29,56.25,56.29,2,2,2022-06-22,80,2022-07-08
6,60.900000000000006,60.900000000000006,60.900000000000006,60.900000000000006,1,1,2022-07-05,80,2022-07-08
7,62.5,62.5,62.5,62.5,1,1,2022-07-06,80,2022-07-08
8,57.2,57.2,57.2,57.2,1,1,2022-06-27,85,2022-07-08
9,50.660000000000004,50.660000000000004,50.660000000000004,50.660000000000004,1,1,2022-06-30,85,2022-07-08
10,44.900000000000006,44.900000000000006,44.900000000000006,44.900000000000006,1,1,2022-06-10,95,2022-07-08
11,49.36,49.36,49.36,49.36,1,1,2022-05-27,100,2022-07-08
12,50.7,50.7,50.7,50.7,1,1,2022-05-31,100,2022-07-08
13,33.6,35.15,33.6,35.15,4,2,2022-06-13,100,2022-07-08
14,29.5,29.5,29.5,29.5,1,1,2022-06-16,100,2022-07-08
15,35.9,35.95,35.9,35.95,20,2,2022-06-21,100,2022-07-08
16,38.5,38.5,38.5,38.5,1,1,2022-06-23,100,2022-07-08
17,33.68,33.68,33.68,33.68,1,1,2022-06-10,105,2022-07-08
18,30.0,30.0,29.450000000000003,29.450000000000003,2,2,2022-06-15,105,2022-07-08
19,27.18,27.43,27.18,27.43,11,2,2022-06-17,105,2022-07-08
20,30.0,30.650000000000002,30.0,30.650000000000002,2,2,2022-06-22,105,2022-07-08
21,37.02,37.870000000000005,37.02,37.870000000000005,17,2,2022-06-27,105,2022-07-08
22,31.400000000000002,32.550000000000004,31.400000000000002,32.550000000000004,2,2,2022-07-01,105,2022-07-08
23,34.52,34.52,34.52,34.52,16,1,2022-07-05,105,2022-07-08
24,39.43,39.43,39.43,39.43,1,1,2022-05-27,110,2022-07-08
25,37.800000000000004,37.800000000000004,37.800000000000004,37.800000000000004,1,1,2022-06-07,110,2022-07-08
26,24.5,24.5,23.6,23.6,37,4,2022-06-13,110,2022-07-08
27,23.05,23.05,23.05,23.05,1,1,2022-06-14,110,2022-07-08
28,25.98,25.98,25.98,25.98,1,1,2022-06-15,110,2022-07-08
29,21.7,21.7,20.6,20.6,59,2,2022-06-16,110,2022-07-08
30,26.0,26.0,26.0,26.0,55,1,2022-06-21,110,2022-07-08
31,27.0,28.55,27.0,28.55,4,3,2022-06-23,110,2022-07-08
32,31.09,31.14,30.34,30.34,6,6,2022-06-24,110,2022-07-08
