,DataType.OPEN,DataType.HIGH,DataType.LOW,DataType.CLOSE,DataType.VOLUME,DataType.COUNT,DataType.DATE,DataType.STRIKEPRICE,DataType.EXPIRY
0,128.70000000000002,128.70000000000002,128.70000000000002,128.70000000000002,1,1,2023-08-10,50,2023-09-22
1,79.0,79.0,79.0,79.0,2,1,2023-08-07,100,2023-09-22
2,56.230000000000004,56.230000000000004,53.31,53.31,10,2,2023-08-04,130,2023-09-22
3,48.660000000000004,49.050000000000004,48.660000000000004,49.050000000000004,9,2,2023-08-11,130,2023-09-22
4,43.940000000000005,43.940000000000005,43.940000000000005,43.940000000000005,4,1,2023-08-07,135,2023-09-22
5,45.480000000000004,45.480000000000004,45.480000000000004,45.480000000000004,1,1,2023-08-08,135,2023-09-22
6,43.89,43.89,43.89,43.89,1,1,2023-08-11,135,2023-09-22
7,39.15,39.15,39.04,39.04,3,3,2023-08-08,140,2023-09-22
8,39.88,40.45,39.88,40.45,3,3,2023-08-09,140,2023-09-22
9,41.34,41.34,41.34,41.34,1,1,2023-08-10,140,2023-09-22
10,38.57,39.35,38.57,39.35,3,2,2023-08-11,140,2023-09-22
11,33.84,34.870000000000005,33.84,34.870000000000005,3,3,2023-08-07,145,2023-09-22
12,34.25,34.25,34.2,34.2,2,2,2023-08-08,145,2023-09-22
13,34.6,34.6,34.6,34.6,1,1,2023-08-10,145,2023-09-22
14,36.410000000000004,36.410000000000004,36.410000000000004,36.410000000000004,4,1,2023-08-04,150,2023-09-22
15,30.0,30.1,29.25,29.830000000000002,24,7,2023-08-07,150,2023-09-22
16,30.1,30.1,30.1,30.1,1,1,2023-08-08,150,2023-09-22
17,31.450000000000003,31.450000000000003,29.290000000000003,29.290000000000003,3,2,2023-08-09,150,2023-09-22
18,31.5,31.5,31.5,31.5,1,1,2023-08-10,150,2023-09-22
19,29.37,29.37,29.37,29.37,2,1,2023-08-11,150,2023-09-22
20,29.770000000000003,29.770000000000003,29.770000000000003,29.770000000000003,1,1,2023-08-04,155,2023-09-22
21,24.080000000000002,24.450000000000003,24.080000000000002,24.450000000000003,3,2,2023-08-07,155,2023-09-22
22,26.05,26.05,24.39,24.39,2,2,2023-08-08,155,2023-09-22
23,24.35,24.35,23.71,23.71,894,87,2023-08-09,155,2023-09-22
24,24.53,24.53,24.290000000000003,24.310000000000002,16,5,2023-08-10,155,2023-09-22
25,24.1,24.51,24.1,24.51,2,2,2023-08-11,155,2023-09-22
26,33.370000000000005,33.370000000000005,33.0,33.0,6,2,2023-08-03,160,2023-09-22
27,26.03,27.44,26.03,26.5,17,3,2023-08-04,160,2023-09-22
28,21.11,21.11,19.68,20.830000000000002,20,9,2023-08-07,160,2023-09-22
29,20.75,21.62,19.880000000000003,21.57,171,64,2023-08-08,160,2023-09-22
30,22.41,22.41,20.0,20.0,8,6,2023-08-09,160,2023-09-22
31,21.05,21.130000000000003,19.41,19.6,18,7,2023-08-10,160,2023-09-22
32,19.8,20.05,19.8,20.05,10,3,2023-08-11,160,2023-09-22
33,27.87,27.87,27.87,27.87,3,1,2023-08-03,165,2023-09-22
34,22.080000000000002,22.080000000000002,19.52,19.52,18,4,2023-08-04,165,2023-09-22
35,16.61,16.61,15.64,15.700000000000001,62,12,2023-08-07,165,2023-09-22
36,16.42,16.5,15.700000000000001,16.5,9,5,2023-08-08,165,2023-09-22
37,16.0,16.3,16.0,16.3,20,2,2023-08-09,165,2023-09-22
38,16.55,16.55,15.200000000000001,15.280000000000001,4,3,2023-08-10,165,2023-09-22
39,15.25,15.590000000000002,15.100000000000001,15.100000000000001,23,6,2023-08-11,165,2023-09-22
40,23.91,23.98,23.78,23.78,3,3,2023-08-03,170,2023-09-22
41,17.75,17.92,15.020000000000001,15.100000000000001,119,26,2023-08-04,170,2023-09-22
42,13.700000000000001,14.100000000000001,11.25,12.200000000000001,210,42,2023-08-07,170,2023-09-22
43,12.55,12.950000000000001,11.33,12.950000000000001,120,28,2023-08-08,170,2023-09-22
44,13.31,13.31,10.75,12.24,35,13,2023-08-09,170,2023-09-22
45,12.3,13.05,11.040000000000001,11.040000000000001,25,7,2023-08-10,170,2023-09-22
46,10.84,11.49,10.8,11.32,9,7,2023-08-11,170,2023-09-22
47,19.0,19.09,18.95,19.09,5,4,2023-08-03,175,2023-09-22
48,14.67,14.67,11.15,11.15,15,13,2023-08-04,175,2023-09-22
49,10.47,10.47,7.7,8.3,579,103,2023-08-07,175,2023-09-22
50,9.1,9.360000000000001,7.9,9.25,309,84,2023-08-08,175,2023-09-22
51,9.17,9.4,7.300000000000001,7.930000000000001,681,93,2023-08-09,175,2023-09-22
52,8.52,9.25,7.4,7.57,378,69,2023-08-10,175,2023-09-22
53,7.15,7.800000000000001,7.0,7.340000000000001,161,44,2023-08-11,175,2023-09-22
54,15.100000000000001,15.200000000000001,14.950000000000001,15.100000000000001,7,5,2023-08-03,180,2023-09-22
55,8.9,10.75,7.6000000000000005,7.6000000000000005,308,77,2023-08-04,180,2023-09-22
56,7.6000000000000005,7.8500000000000005,4.8500000000000005,5.4,4155,471,2023-08-07,180,2023-09-22
57,6.0,6.15,5.0,6.0,1022,209,2023-08-08,180,2023-09-22
58,6.46,6.46,4.55,4.95,591,173,2023-08-09,180,2023-09-22
59,5.470000000000001,5.9,4.58,4.7,986,204,2023-08-10,180,2023-09-22
60,4.4,4.8500000000000005,4.2,4.3500000000000005,743,141,2023-08-11,180,2023-09-22
61,11.110000000000001,11.48,11.110000000000001,11.48,5,4,2023-08-03,185,2023-09-22
62,6.5,7.550000000000001,4.88,4.9,1885,304,2023-08-04,185,2023-09-22
63,4.890000000000001,5.2,2.85,3.2,2197,329,2023-08-07,185,2023-09-22
64,3.6,3.75,2.97,3.56,1642,215,2023-08-08,185,2023-09-22
65,4.0,4.0,2.66,2.8800000000000003,2696,220,2023-08-09,185,2023-09-22
66,3.0900000000000003,3.4000000000000004,2.5500000000000003,2.56,2805,200,2023-08-10,185,2023-09-22
67,2.35,2.7,2.25,2.3200000000000003,1058,109,2023-08-11,185,2023-09-22
68,8.3,8.55,7.9,8.22,148,32,2023-08-03,190,2023-09-22
69,3.5,5.05,2.9000000000000004,2.91,1224,326,2023-08-04,190,2023-09-22
70,2.8000000000000003,3.1,1.52,1.74,1567,291,2023-08-07,190,2023-09-22
71,1.9600000000000002,2.06,1.6300000000000001,1.99,722,173,2023-08-08,190,2023-09-22
72,2.15,2.16,1.4200000000000002,1.52,986,167,2023-08-09,190,2023-09-22
73,1.6800000000000002,1.79,1.28,1.29,1044,163,2023-08-10,190,2023-09-22
74,1.2,1.35,1.07,1.1,1118,289,2023-08-11,190,2023-09-22
75,5.9,6.1000000000000005,5.24,5.6000000000000005,119,39,2023-08-03,195,2023-09-22
76,1.9200000000000002,2.8000000000000003,1.61,1.62,2568,266,2023-08-04,195,2023-09-22
77,1.57,1.6700000000000002,0.75,0.9400000000000001,1353,244,2023-08-07,195,2023-09-22
78,1.08,1.12,0.86,1.05,578,157,2023-08-08,195,2023-09-22
79,1.1300000000000001,1.1400000000000001,0.74,0.8,1276,179,2023-08-09,195,2023-09-22
80,0.86,0.86,0.62,0.63,408,93,2023-08-10,195,2023-09-22
81,0.56,0.63,0.49000000000000005,0.49000000000000005,298,74,2023-08-11,195,2023-09-22
82,3.6100000000000003,3.68,3.25,3.35,647,57,2023-08-03,200,2023-09-22
83,1.0,1.52,0.75,0.86,1896,222,2023-08-04,200,2023-09-22
84,0.8200000000000001,0.88,0.4,0.5,562,154,2023-08-07,200,2023-09-22
85,0.5800000000000001,0.5800000000000001,0.49000000000000005,0.55,296,89,2023-08-08,200,2023-09-22
86,0.5700000000000001,0.5700000000000001,0.41000000000000003,0.42000000000000004,298,87,2023-08-09,200,2023-09-22
87,0.45,0.46,0.31,0.32,232,87,2023-08-10,200,2023-09-22
88,0.31,0.31,0.22,0.24000000000000002,1037,267,2023-08-11,200,2023-09-22
89,2.22,2.22,1.9000000000000001,2.0500000000000003,301,43,2023-08-03,205,2023-09-22
90,0.52,0.79,0.45,0.47000000000000003,215,67,2023-08-04,205,2023-09-22
91,0.45,0.45,0.22,0.28,136,45,2023-08-07,205,2023-09-22
92,0.31,0.32,0.27,0.32,90,29,2023-08-08,205,2023-09-22
93,0.3,0.3,0.24000000000000002,0.25,135,26,2023-08-09,205,2023-09-22
94,0.26,0.26,0.19,0.19,93,20,2023-08-10,205,2023-09-22
95,0.2,0.2,0.12000000000000001,0.14,273,36,2023-08-11,205,2023-09-22
96,1.1700000000000002,1.2,1.03,1.1400000000000001,217,27,2023-08-03,210,2023-09-22
97,0.33,0.45,0.25,0.27,210,51,2023-08-04,210,2023-09-22
98,0.27,0.27,0.14,0.18000000000000002,51,23,2023-08-07,210,2023-09-22
99,0.19,0.2,0.18000000000000002,0.2,168,15,2023-08-08,210,2023-09-22
100,0.2,0.2,0.16,0.16,71,9,2023-08-09,210,2023-09-22
101,0.15,0.15,0.12000000000000001,0.12000000000000001,36,9,2023-08-10,210,2023-09-22
102,0.12000000000000001,0.12000000000000001,0.07,0.08,1277,213,2023-08-11,210,2023-09-22
103,0.7000000000000001,0.7000000000000001,0.5700000000000001,0.6,62,10,2023-08-03,215,2023-09-22
104,0.19,0.19,0.17,0.17,50,19,2023-08-04,215,2023-09-22
105,0.19,0.19,0.11,0.13,301,28,2023-08-07,215,2023-09-22
106,0.13,0.14,0.13,0.14,84,7,2023-08-08,215,2023-09-22
107,0.13,0.14,0.13,0.14,215,8,2023-08-09,215,2023-09-22
108,0.1,0.1,0.1,0.1,280,12,2023-08-10,215,2023-09-22
109,0.060000000000000005,0.060000000000000005,0.060000000000000005,0.060000000000000005,35,4,2023-08-11,215,2023-09-22
110,0.35000000000000003,0.35000000000000003,0.27,0.27,2,2,2023-08-03,220,2023-09-22
111,0.14,0.14,0.12000000000000001,0.13,101,10,2023-08-04,220,2023-09-22
112,0.13,0.13,0.09000000000000001,0.1,99,13,2023-08-07,220,2023-09-22
113,0.1,0.11,0.1,0.1,212,5,2023-08-08,220,2023-09-22
114,0.11,0.11,0.1,0.1,59,4,2023-08-09,220,2023-09-22
115,0.1,0.1,0.1,0.1,14,3,2023-08-10,220,2023-09-22
116,0.07,0.07,0.05,0.05,185,10,2023-08-11,220,2023-09-22
117,0.25,0.25,0.2,0.21000000000000002,87,5,2023-08-03,225,2023-09-22
118,0.07,0.11,0.07,0.1,391,23,2023-08-04,225,2023-09-22
119,0.07,0.07,0.07,0.07,360,4,2023-08-07,225,2023-09-22
120,0.08,0.08,0.08,0.08,100,1,2023-08-08,225,2023-09-22
121,0.09000000000000001,0.09000000000000001,0.08,0.08,8,4,2023-08-09,225,2023-09-22
122,0.07,0.07,0.07,0.07,2,1,2023-08-10,225,2023-09-22
123,0.030000000000000002,0.030000000000000002,0.030000000000000002,0.030000000000000002,8,1,2023-08-11,225,2023-09-22
124,0.15,0.16,0.13,0.13,25,10,2023-08-03,230,2023-09-22
125,0.1,0.1,0.07,0.08,180,11,2023-08-04,230,2023-09-22
126,0.060000000000000005,0.07,0.060000000000000005,0.060000000000000005,471,20,2023-08-07,230,2023-09-22
127,0.07,0.08,0.07,0.08,258,12,2023-08-08,230,2023-09-22
128,0.07,0.07,0.07,0.07,515,9,2023-08-09,230,2023-09-22
129,0.08,0.08,0.05,0.060000000000000005,675,6,2023-08-10,230,2023-09-22
130,0.060000000000000005,0.060000000000000005,0.060000000000000005,0.060000000000000005,350,4,2023-08-04,235,2023-09-22
131,0.05,0.05,0.05,0.05,500,10,2023-08-08,235,2023-09-22
132,0.060000000000000005,0.060000000000000005,0.060000000000000005,0.060000000000000005,118,7,2023-08-09,235,2023-09-22
133,0.05,0.05,0.05,0.05,1,1,2023-08-10,235,2023-09-22
134,0.030000000000000002,0.030000000000000002,0.030000000000000002,0.030000000000000002,559,18,2023-08-11,235,2023-09-22
135,0.14,0.14,0.14,0.14,1,1,2023-08-03,240,2023-09-22
136,0.04,0.05,0.04,0.05,720,10,2023-08-04,240,2023-09-22
137,0.04,0.04,0.04,0.04,900,44,2023-08-07,240,2023-09-22
138,0.05,0.05,0.05,0.05,1,1,2023-08-09,240,2023-09-22
139,0.060000000000000005,0.060000000000000005,0.060000000000000005,0.060000000000000005,20,1,2023-08-10,240,2023-09-22
140,0.030000000000000002,0.030000000000000002,0.030000000000000002,0.030000000000000002,94,1,2023-08-11,240,2023-09-22
141,0.04,0.04,0.04,0.04,400,18,2023-08-04,245,2023-09-22
142,0.04,0.04,0.04,0.04,200,1,2023-08-07,245,2023-09-22
143,0.04,0.04,0.04,0.04,250,6,2023-08-08,245,2023-09-22
144,0.04,0.04,0.04,0.04,1,1,2023-08-11,245,2023-09-22
145,0.030000000000000002,0.030000000000000002,0.030000000000000002,0.030000000000000002,300,10,2023-08-04,255,2023-09-22
146,0.030000000000000002,0.030000000000000002,0.030000000000000002,0.030000000000000002,1,1,2023-08-10,255,2023-09-22
147,0.02,0.02,0.02,0.02,1,1,2023-08-11,255,2023-09-22
148,0.04,0.04,0.04,0.04,3,1,2023-08-08,260,2023-09-22
149,0.04,0.04,0.04,0.04,2,1,2023-08-09,260,2023-09-22
150,0.030000000000000002,0.030000000000000002,0.030000000000000002,0.030000000000000002,1,1,2023-08-10,260,2023-09-22
151,0.02,0.02,0.02,0.02,837,9,2023-08-11,260,2023-09-22
