,DataType.OPEN,DataType.HIGH,DataType.LOW,DataType.CLOSE,DataType.VOLUME,DataType.COUNT,DataType.DATE,DataType.STRIKEPRICE,DataType.EXPIRY
0,122.85000000000001,122.85000000000001,122.85000000000001,122.85000000000001,1,1,2022-03-30,55,2022-05-20
1,121.7,121.7,121.7,121.7,1,1,2022-03-31,55,2022-05-20
2,109.80000000000001,110.10000000000001,109.80000000000001,110.10000000000001,2,2,2022-04-18,55,2022-05-20
3,97.2,97.2,97.2,97.2,10,1,2022-05-09,55,2022-05-20
4,91.0,91.0,84.75,84.75,5,5,2022-05-12,55,2022-05-20
5,90.5,90.80000000000001,89.2,90.80000000000001,4,4,2022-05-16,55,2022-05-20
6,93.65,93.65,93.65,93.65,2,2,2022-05-17,55,2022-05-20
7,85.55,85.55,85.55,85.55,1,1,2022-05-18,55,2022-05-20
8,84.35000000000001,84.35000000000001,84.35000000000001,84.35000000000001,1,1,2022-05-19,55,2022-05-20
9,83.35000000000001,83.35000000000001,79.10000000000001,79.12,5,5,2022-05-20,55,2022-05-20
10,106.65,106.65,106.65,106.65,1,1,2022-04-11,60,2022-05-20
11,100.0,100.0,99.95,99.95,2,2,2022-04-25,60,2022-05-20
12,84.35000000000001,84.35000000000001,84.35000000000001,84.35000000000001,1,1,2022-05-12,60,2022-05-20
13,86.2,86.2,86.2,86.2,1,1,2022-05-16,60,2022-05-20
14,86.85000000000001,86.85000000000001,86.85000000000001,86.85000000000001,1,1,2022-05-17,60,2022-05-20
15,81.0,81.0,81.0,81.0,2,1,2022-05-19,60,2022-05-20
16,113.03,113.05000000000001,113.03,113.05000000000001,4,3,2022-03-29,65,2022-05-20
17,91.95,91.95,91.95,91.95,1,1,2022-05-06,65,2022-05-20
18,70.75,70.75,70.75,70.75,1,1,2022-05-12,70,2022-05-20
19,67.14,67.14,67.0,67.0,2,2,2022-05-20,70,2022-05-20
20,107.49000000000001,107.49000000000001,107.49000000000001,107.49000000000001,4,2,2022-01-04,75,2022-05-20
