,DataType.OPEN,DataType.HIGH,DataType.LOW,DataType.CLOSE,DataType.VOLUME,DataType.COUNT,DataType.DATE,DataType.STRIKEPRICE,DataType.EXPIRY
0,142.4,142.5,141.05,141.1,34,5,2023-07-05,50,2023-07-28
1,140.15,140.15,140.15,140.15,1,1,2023-07-06,50,2023-07-28
2,137.85,138.75,137.85,137.9,4,4,2023-07-10,50,2023-07-28
3,138.0,138.0,138.0,138.0,31,1,2023-07-11,50,2023-07-28
4,139.9,139.9,138.95000000000002,138.95000000000002,4,3,2023-07-12,50,2023-07-28
5,142.3,143.21,142.3,143.21,17,5,2023-07-17,50,2023-07-28
6,143.15,143.15,143.15,143.15,5,3,2023-07-18,50,2023-07-28
7,143.0,143.0,143.0,143.0,9,1,2023-07-20,50,2023-07-28
8,143.6,143.6,143.35,143.35,2,2,2023-07-24,50,2023-07-28
9,143.70000000000002,144.1,143.70000000000002,144.1,3,3,2023-07-25,50,2023-07-28
10,144.3,144.3,144.05,144.05,2,2,2023-07-26,50,2023-07-28
11,146.9,146.9,146.9,146.9,1,1,2023-07-27,50,2023-07-28
12,145.15,146.35,145.15,146.35,23,3,2023-07-28,50,2023-07-28
13,132.1,132.5,131.1,131.15,37,7,2023-07-05,60,2023-07-28
14,130.3,130.3,129.9,129.9,2,2,2023-07-06,60,2023-07-28
15,130.9,130.9,130.9,130.9,1,1,2023-07-07,60,2023-07-28
16,128.55,128.85,128.15,128.15,4,4,2023-07-10,60,2023-07-28
17,127.30000000000001,127.30000000000001,127.30000000000001,127.30000000000001,4,2,2023-07-11,60,2023-07-28
18,130.20000000000002,130.20000000000002,130.20000000000002,130.20000000000002,30,1,2023-07-12,60,2023-07-28
19,133.35,133.6,133.35,133.6,2,2,2023-07-24,60,2023-07-28
20,134.3,134.3,134.3,134.3,3,3,2023-07-26,60,2023-07-28
21,132.8,132.8,132.8,132.8,2,1,2023-07-27,60,2023-07-28
22,134.4,135.95000000000002,134.4,135.55,29,3,2023-07-28,60,2023-07-28
23,127.5,127.60000000000001,126.10000000000001,126.2,35,5,2023-07-05,65,2023-07-28
24,125.2,125.35000000000001,125.05000000000001,125.05000000000001,5,5,2023-07-06,65,2023-07-28
25,126.4,126.4,126.4,126.4,1,1,2023-07-07,65,2023-07-28
26,122.95,122.95,122.95,122.95,1,1,2023-07-10,65,2023-07-28
27,128.9,128.9,128.9,128.9,1,1,2023-07-25,65,2023-07-28
28,130.9,131.35,130.75,130.75,8,4,2023-07-28,65,2023-07-28
